Tue May  9 17:25:48 2023	Record: 79 moving-out, 1010 moving-in and 1258 deletes made while the cleansing of 20130416 day data.
Tue May  9 17:25:50 2023	Record: 41 moving-out, 908 moving-in and 1408 deletes made while the cleansing of 20130417 day data.
Tue May  9 17:25:52 2023	Record: 65 moving-out, 717 moving-in and 1407 deletes made while the cleansing of 20130418 day data.
Tue May  9 17:25:54 2023	Record: 29 moving-out, 583 moving-in and 1090 deletes made while the cleansing of 20130419 day data.
Tue May  9 17:25:56 2023	Record: 54 moving-out, 701 moving-in and 706 deletes made while the cleansing of 20130420 day data.
Tue May  9 17:25:58 2023	Record: 34 moving-out, 908 moving-in and 751 deletes made while the cleansing of 20130421 day data.
Tue May  9 17:25:59 2023	Record: 80 moving-out, 1084 moving-in and 1574 deletes made while the cleansing of 20130422 day data.
Tue May  9 17:26:03 2023	Record: 62 moving-out, 988 moving-in and 1666 deletes made while the cleansing of 20130423 day data.
Tue May  9 17:26:05 2023	Record: 67 moving-out, 881 moving-in and 1358 deletes made while the cleansing of 20130424 day data.
Tue May  9 17:26:07 2023	Record: 71 moving-out, 765 moving-in and 1565 deletes made while the cleansing of 20130425 day data.
Tue May  9 17:26:09 2023	Record: 29 moving-out, 667 moving-in and 1099 deletes made while the cleansing of 20130426 day data.
Tue May  9 17:26:11 2023	Record: 19 moving-out, 499 moving-in and 871 deletes made while the cleansing of 20130427 day data.
Tue May  9 17:26:15 2023	Record: 30 moving-out, 631 moving-in and 746 deletes made while the cleansing of 20130428 day data.
Tue May  9 17:26:17 2023	Record: 81 moving-out, 871 moving-in and 1308 deletes made while the cleansing of 20130429 day data.
Tue May  9 17:26:19 2023	Record: 64 moving-out, 806 moving-in and 1446 deletes made while the cleansing of 20130430 day data.
Tue May  9 17:26:21 2023	Record: 37 moving-out, 740 moving-in and 1214 deletes made while the cleansing of 20130501 day data.
Tue May  9 17:26:23 2023	Record: 44 moving-out, 724 moving-in and 1353 deletes made while the cleansing of 20130502 day data.
Tue May  9 17:26:25 2023	Record: 32 moving-out, 686 moving-in and 1260 deletes made while the cleansing of 20130503 day data.
Tue May  9 17:26:27 2023	Record: 57 moving-out, 741 moving-in and 756 deletes made while the cleansing of 20130504 day data.
Tue May  9 17:26:30 2023	Record: 17 moving-out, 927 moving-in and 833 deletes made while the cleansing of 20130505 day data.
Tue May  9 17:26:32 2023	Record: 43 moving-out, 1160 moving-in and 1346 deletes made while the cleansing of 20130506 day data.
Tue May  9 17:26:33 2023	Record: 81 moving-out, 1422 moving-in and 1649 deletes made while the cleansing of 20130507 day data.
Tue May  9 17:26:35 2023	Record: 40 moving-out, 1038 moving-in and 1672 deletes made while the cleansing of 20130508 day data.
Tue May  9 17:26:36 2023	Record: 28 moving-out, 765 moving-in and 1460 deletes made while the cleansing of 20130509 day data.
Tue May  9 17:26:38 2023	Record: 44 moving-out, 812 moving-in and 1359 deletes made while the cleansing of 20130510 day data.
Tue May  9 17:26:40 2023	Record: 28 moving-out, 656 moving-in and 750 deletes made while the cleansing of 20130511 day data.
Tue May  9 17:26:43 2023	Record: 51 moving-out, 1019 moving-in and 897 deletes made while the cleansing of 20130512 day data.
Tue May  9 17:26:45 2023	Record: 102 moving-out, 1127 moving-in and 1551 deletes made while the cleansing of 20130513 day data.
Tue May  9 17:26:48 2023	Record: 76 moving-out, 1611 moving-in and 1811 deletes made while the cleansing of 20130514 day data.
Tue May  9 17:26:52 2023	Record: 64 moving-out, 1345 moving-in and 1649 deletes made while the cleansing of 20130515 day data.
Tue May  9 17:26:54 2023	Record: 38 moving-out, 917 moving-in and 1433 deletes made while the cleansing of 20130516 day data.
Tue May  9 17:26:56 2023	Record: 48 moving-out, 884 moving-in and 1349 deletes made while the cleansing of 20130517 day data.
Tue May  9 17:26:59 2023	Record: 22 moving-out, 937 moving-in and 737 deletes made while the cleansing of 20130518 day data.
Tue May  9 17:27:04 2023	Record: 42 moving-out, 1126 moving-in and 968 deletes made while the cleansing of 20130519 day data.
Tue May  9 17:27:06 2023	Record: 52 moving-out, 1202 moving-in and 1463 deletes made while the cleansing of 20130520 day data.
Tue May  9 17:27:09 2023	Record: 133 moving-out, 1468 moving-in and 1610 deletes made while the cleansing of 20130521 day data.
Tue May  9 17:27:14 2023	Record: 93 moving-out, 1820 moving-in and 1565 deletes made while the cleansing of 20130522 day data.
Tue May  9 17:27:16 2023	Record: 61 moving-out, 1020 moving-in and 1494 deletes made while the cleansing of 20130523 day data.
Tue May  9 17:27:20 2023	Record: 33 moving-out, 984 moving-in and 1197 deletes made while the cleansing of 20130524 day data.
Tue May  9 17:27:23 2023	Record: 37 moving-out, 726 moving-in and 770 deletes made while the cleansing of 20130525 day data.
Tue May  9 17:27:25 2023	Record: 56 moving-out, 904 moving-in and 985 deletes made while the cleansing of 20130526 day data.
